"Drug1","Drug2","Drug1.target","Drug2.target","n.syn","n.syn.score","Drug.num1","Drug.num2"
"OSU03012","vatalanib/PTK787","PDK1","VEFGR (1-4), c-kit, PDGFb",12,2.22520684558094,9,22
"Midostaurin/PKC412","ABT263","Multi (FLT3, KIT, etc., broad spectrum)","Bcl-2, Bcl-x, Bcl-xl",11,1.10790837240482,15,4
"fludarabine","ABT263","Antimetabolite (purine)","Bcl-2, Bcl-x, Bcl-xl",11,1.10790837240482,11,4
"Midostaurin/PKC412","Bortezomib","Multi (FLT3, KIT, etc., broad spectrum)","proteasome",11,0.661950397002225,15,2
"cisplatin","Bortezomib","alkylating agent (platinum)","proteasome",11,0.661950397002225,21,2
"dasatanib","Bortezomib","Multi (BCR-Abl, EAR, PDGFR, c-kit)","proteasome",11,0.661950397002225,34,2
"pioglitazone","Bortezomib","PPARg, agonist","proteasome",11,0.661950397002225,53,2
"vasastrol","Bortezomib","KSP (Eg5, kinesin-5)","proteasome",11,0.661950397002225,67,2
"bivanib/BI2536","CHIR265","Plk1","Raf, VEGFR",11,2.09565823879859,8,14
"bivanib/BI2536","Docetaxel","Plk1","microtubule agent (taxane)",11,2.09565823879859,8,10
"SrcI1","HIF-1i","Src","HIFa",11,2.95920567753324,18,30
"MK2206","Lestaurtinib","Akt","Multi (Flt2, TrkA, RET, JAK2)",11,4.53030447792072,59,101
"Midostaurin/PKC412","Perifosine","Multi (FLT3, KIT, etc., broad spectrum)","Akt/PI3K",11,2.70558490088054,15,24
"SNS-032","Perifosine","CDK2/7/9","Akt/PI3K",11,2.70558490088054,38,24
"fingolimod","RKI983","Sphingosine-1-phosphate receptor agonist","ROCK",11,0.101194114331565,1,16
"NVP-TAE684","Wnti","ALK","bCatenin",11,0.867381213109425,40,3
"bivanib/BI2536","XL147","Plk1","PI3K",11,2.09565823879859,8,61
"STA4783","YM155","HSP70 inducer","survivin/BIRC5",11,1.81847938637103,6,7
"YM155","erlotinib","survivin/BIRC5","EGFR",11,2.02129994772399,7,65
"L779450","fingolimod","Raf","Sphingosine-1-phosphate receptor agonist",11,0.101194114331565,51,1
"MK1775","fingolimod","Wee-1","Sphingosine-1-phosphate receptor agonist",11,0.101194114331565,37,1
"Tamatinib/R406","fingolimod","Syk","Sphingosine-1-phosphate receptor agonist",11,0.101194114331565,17,1
"bivanib/BI2536","sorafenib","Plk1","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)",11,2.09565823879859,8,26
"IPA3","vatalanib/PTK787","PAK","VEFGR (1-4), c-kit, PDGFb",11,2.29596164552197,88,22
"LFM-A13","vincristine","BTK, Plk","microtubule agent (vinca alkyloid)",11,1.04928125110805,90,5
"RKI983","ABT263","ROCK","Bcl-2, Bcl-x, Bcl-xl",10,0.917930494444379,16,4
"bivanib/BI2536","ABT263","Plk1","Bcl-2, Bcl-x, Bcl-xl",10,0.917930494444379,8,4
"Dorsomorphin","Bortezomib","AMPK/BMP antagonist","proteasome",10,0.460732520640754,39,2
"GW0742","Bortezomib","PPARd, agonist","proteasome",10,0.460732520640754,63,2
"JNK5a","Bortezomib","JNK","proteasome",10,0.460732520640754,86,2
"PLX4720","Bortezomib","Raf (BRafV600E)","proteasome",10,0.460732520640754,79,2
"HIF-1i","Enzastaurin","HIFa","PKCbeta",10,2.70589116225983,30,31
"fingolimod","Enzastaurin","Sphingosine-1-phosphate receptor agonist","PKCbeta",10,-0.0534883175752558,1,31
"RKI983","FK866","ROCK","NAMPRT",10,2.21442339584915,16,12
"Wnti","OSI906","bCatenin","IGF1R",10,0.692268402160919,3,57
"Bortezomib","Perifosine","proteasome","Akt/PI3K",10,0.460732520640754,2,24
"bivanib/BI2536","Tamatinib/R406","Plk1","Syk",10,1.81675844831172,8,17
"Wnti","Veliparib/ABT888","bCatenin","PARP",10,0.692268402160919,3,81
"Bortezomib","Vismodegib/GDC0449","proteasome","Hh",10,0.460732520640754,2,104
"Midostaurin/PKC412","YM155","Multi (FLT3, KIT, etc., broad spectrum)","survivin/BIRC5",10,1.74925077236994,15,7
"QS11","YM155","ARFGAP","survivin/BIRC5",10,1.74925077236994,28,7
"Tie2i","YM155","TIE_2","survivin/BIRC5",10,1.74925077236994,48,7
"fingolimod","etoposide","Sphingosine-1-phosphate receptor agonist","topoisomerase inhibitors (Type II, podophyllotoxin)",10,-0.0534883175752558,1,105
"GSK0660","fingolimod","PPARd, ant","Sphingosine-1-phosphate receptor agonist",10,-0.0534883175752558,68,1
"GW441756","fingolimod","TrkA","Sphingosine-1-phosphate receptor agonist",10,-0.0534883175752558,82,1
"SNS314","fingolimod","Aurora (pan)","Sphingosine-1-phosphate receptor agonist",10,-0.0534883175752558,55,1
"palbociclib/PD332991","fingolimod","CDK4/6","Sphingosine-1-phosphate receptor agonist",10,-0.0534883175752558,85,1
"lenalidomide","fludarabine","TNFa","Antimetabolite (purine)",10,2.77220737409844,98,11
"CHIR265","selumetinib/AZD6244","Raf, VEGFR","MEK",10,2.55372991495311,14,32
"STA4783","sorafenib","HSP70 inducer","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)",10,1.53442494207658,6,26
"FH535","vincristine","bCatenin","microtubule agent (vinca alkyloid)",10,0.880955773044241,23,5
"Wnti","vincristine","bCatenin","microtubule agent (vinca alkyloid)",10,0.692268402160919,3,5
"fingolimod","vincristine","Sphingosine-1-phosphate receptor agonist","microtubule agent (vinca alkyloid)",10,-0.0534883175752558,1,5
"BID1870","ABT263","RSK (RSK1/2/3/5/, PLK1, ARKB)","Bcl-2, Bcl-x, Bcl-xl",9,0.727952616483937,45,4
"CX4945","ABT263","CK2a","Bcl-2, Bcl-x, Bcl-xl",9,0.727952616483937,49,4
"FH535","ABT263","bCatenin","Bcl-2, Bcl-x, Bcl-xl",9,0.727952616483937,23,4
"STA4783","ABT263","HSP70 inducer","Bcl-2, Bcl-x, Bcl-xl",9,0.727952616483937,6,4
"STA4783","BMS536924","HSP70 inducer","Multi (IGFR1R, InR, FAK)",9,1.25037049778213,6,44
"CHIR265","Bortezomib","Raf, VEGFR","proteasome",9,0.259514644279282,14,2
"OSU03012","Bortezomib","PDK1","proteasome",9,0.259514644279282,9,2
"SNS-032","Bortezomib","CDK2/7/9","proteasome",9,0.259514644279282,38,2
"U73122","Bortezomib","PLC","proteasome",9,0.259514644279282,20,2
"sorafenib","Bortezomib","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","proteasome",9,0.259514644279282,26,2
"bivanib/BI2536","CX4945","Plk1","CK2a",9,1.53785865782484,8,49
"EX527","Docetaxel","SIRT1","microtubule agent (taxane)",9,2.00645161181837,100,10
"GW2580","Docetaxel","CSF1R/fms","microtubule agent (taxane)",9,2.00645161181837,71,10
"Midostaurin/PKC412","Docetaxel","Multi (FLT3, KIT, etc., broad spectrum)","microtubule agent (taxane)",9,2.00645161181837,15,10
"decitabine","FK866","methyl transferase inhibitor","NAMPRT",9,1.90590346960454,69,12
"Wnti","L779450","bCatenin","Raf",9,0.517155591212412,3,51
"CHIR265","NVP-BEZ235","Raf, VEGFR","PI3K/TORC1/TORC2 dual specificity",9,2.215131276911,14,78
"STA4783","OSI906","HSP70 inducer","IGF1R",9,1.25037049778213,6,57
"HIF-1i","OSU03012","HIFa","PDK1",9,1.46044089544017,30,9
"QS11","OSU03012","ARFGAP","PDK1",9,1.46044089544017,28,9
"fludarabine","PF562271","Antimetabolite (purine)","FAK1/2",9,2.37984469019826,11,64
"ABT263","Perifosine","Bcl-2, Bcl-x, Bcl-xl","Akt/PI3K",9,0.727952616483937,4,24
"nilutamide","Perifosine","androgen receptor","Akt/PI3K",9,2.11113400890062,77,24
"Bexarotene","RKI983","RXR","ROCK",9,2.30977459730628,29,16
"Wnti","VX702","bCatenin","p38",9,0.517155591212412,3,74
"Dorsomorphin","YM155","AMPK/BMP antagonist","survivin/BIRC5",9,1.47720159701589,39,7
"KU55933","YM155","ATM","survivin/BIRC5",9,1.47720159701589,46,7
"GSK0660","bivanib/BI2536","PPARd, ant","Plk1",9,1.53785865782484,68,8
"U73122","cisplatin","PLC","alkylating agent (platinum)",9,1.44254271589423,20,21
"NVP-TAE684","dasatanib","ALK","Multi (BCR-Abl, EAR, PDGFR, c-kit)",9,3.59180361243214,40,34
"PLX4720","fingolimod","Raf (BRafV600E)","Sphingosine-1-phosphate receptor agonist",9,-0.208170749482077,79,1
"decitabine","fingolimod","methyl transferase inhibitor","Sphingosine-1-phosphate receptor agonist",9,-0.208170749482077,69,1
"vasastrol","fingolimod","KSP (Eg5, kinesin-5)","Sphingosine-1-phosphate receptor agonist",9,-0.208170749482077,67,1
"STA4783","lapatinib","HSP70 inducer","EGFR, HER2, ErbB4",9,1.25037049778213,6,13
"Bortezomib","nilotinib","proteasome","Multi (BCR-Abl, PDGFR, c-kit)",9,0.259514644279282,2,66
"Dovitinib/CHIR-258","selumetinib/AZD6244","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","MEK",9,2.90922708650904,35,32
"U73122","sunitinib","PLC","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",9,2.91050183786617,20,42
"Wnti","sunitinib","bCatenin","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",9,0.517155591212412,3,42
"vasastrol","vincristine","KSP (Eg5, kinesin-5)","microtubule agent (vinca alkyloid)",9,0.712630294980431,67,5
"AS252424","ABT263","PI3K (gamma)","Bcl-2, Bcl-x, Bcl-xl",8,0.537974738523495,62,4
"Dovitinib/CHIR-258","ABT263","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)","Bcl-2, Bcl-x, Bcl-xl",8,0.537974738523495,35,4
"SU6656","ABT263","Lyn/Src/Fyn/Yes","Bcl-2, Bcl-x, Bcl-xl",8,0.537974738523495,52,4
"lapatinib","ABT263","EGFR, HER2, ErbB4","Bcl-2, Bcl-x, Bcl-xl",8,0.537974738523495,13,4
"AS252424","Bortezomib","PI3K (gamma)","proteasome",8,0.0582967679178097,62,2
"Crizotinib/PF2341066","Bortezomib","Multi (c-kit, ALK, MET)","proteasome",8,0.0582967679178097,103,2
"cediranib/AZD2171","Bortezomib","VEGFR (pan)","proteasome",8,0.0582967679178097,73,2
"erlotinib","Bortezomib","EGFR","proteasome",8,0.0582967679178097,65,2
"everolimus","Bortezomib","mTor","proteasome",8,0.0582967679178097,41,2
"nilutamide","Bortezomib","androgen receptor","proteasome",8,0.0582967679178097,77,2
"palbociclib/PD332991","Bortezomib","CDK4/6","proteasome",8,0.0582967679178097,85,2
"CHIR265","Docetaxel","Raf, VEGFR","microtubule agent (taxane)",8,1.66073450640039,14,10
"PIM-1 4a","Docetaxel","PIM","microtubule agent (taxane)",8,1.46868152832664,36,10
"Tamatinib/R406","Docetaxel","Syk","microtubule agent (taxane)",8,1.66073450640039,17,10
"Pazopanib","FK866","Multi (VEGFR2, FLT1, FLT4)","NAMPRT",8,1.59738354335993,102,12
"Dorsomorphin","HIF-1i","AMPK/BMP antagonist","HIFa",8,1.92943586999574,39,30
"gemcitabine","Lestaurtinib","Antimetabolite (pyrimidine)","Multi (Flt2, TrkA, RET, JAK2)",8,2.58321733604186,50,101
"Wnti","MK1775","bCatenin","Wee-1",8,0.342042780263905,3,37
"SrcI1","MK2206","Src","Akt",8,1.96349810679092,18,59
"YM155","MK2206","survivin/BIRC5","Akt",8,1.20515242166185,7,59
"lapatinib","MK2206","EGFR, HER2, ErbB4","Akt",8,1.31610349116624,13,59
"GW0742","Midostaurin/PKC412","PPARd, agonist","Multi (FLT3, KIT, etc., broad spectrum)",8,2.09321734214607,63,15
"HIF-1i","Midostaurin/PKC412","HIFa","Multi (FLT3, KIT, etc., broad spectrum)",8,2.04935974647343,30,15
"fingolimod","OSI906","Sphingosine-1-phosphate receptor agonist","IGF1R",8,-0.362853181388897,1,57
"GW0742","OSU03012","PPARd, agonist","PDK1",8,1.20551891205991,63,9
"STA4783","RKI983","HSP70 inducer","ROCK",8,0.966316053487673,6,16
"STA4783","SNS-032","HSP70 inducer","CDK2/7/9",8,0.966316053487673,6,38
"C75","STA4783","Fatty Acid Synthase","HSP70 inducer",8,0.966316053487673,47,6
"QS11","STA4783","ARFGAP","HSP70 inducer",8,0.966316053487673,28,6
"Wnti","Tanespimycin/17-AAG","bCatenin","HSP90",8,0.342042780263905,3,19
"bivanib/BI2536","Tanespimycin/17-AAG","Plk1","HSP90",8,1.25895886733796,8,19
"STA4783","Tideglusib/TZDZ-8","HSP70 inducer","GSK3",8,0.966316053487673,6,80
"Bortezomib","Tozasertib/VX680","proteasome","Multi (AuroraABC, Abl, AblT351I, Flt-3)",8,0.0582967679178097,2,92
"Wnti","Tozasertib/VX680","bCatenin","Multi (AuroraABC, Abl, AblT351I, Flt-3)",8,0.342042780263905,3,92
"Embelin","U73122","XIAP","PLC",8,2.15992359202607,25,20
"STA4783","VX702","HSP70 inducer","p38",8,0.966316053487673,6,74
"STA4783","Veliparib/ABT888","HSP70 inducer","PARP",8,0.966316053487673,6,81
"Docetaxel","Vismodegib/GDC0449","microtubule agent (taxane)","Hh",8,1.66073450640039,10,104
"AS252424","Wnti","PI3K (gamma)","bCatenin",8,0.342042780263905,62,3
"QS11","Wnti","ARFGAP","bCatenin",8,0.342042780263905,28,3
"temozolomide","YM155","alkylating agent (tetrazine)","survivin/BIRC5",8,1.20515242166185,75,7
"AZD7762","bivanib/BI2536","Chk1/2","Plk1",8,1.25895886733796,27,8
"KU55933","bivanib/BI2536","ATM","Plk1",8,1.25895886733796,46,8
"tipifarnib","bivanib/BI2536","FTI","Plk1",8,1.25895886733796,72,8
"Veliparib/ABT888","cisplatin","PARP","alkylating agent (platinum)",8,1.23646518505219,81,21
"LFM-A13","fingolimod","BTK, Plk","Sphingosine-1-phosphate receptor agonist",8,-0.362853181388897,90,1
"Midostaurin/PKC412","fingolimod","Multi (FLT3, KIT, etc., broad spectrum)","Sphingosine-1-phosphate receptor agonist",8,-0.362853181388897,15,1
"T0901317","fingolimod","LXR","Sphingosine-1-phosphate receptor agonist",8,-0.362853181388897,56,1
"Tanespimycin/17-AAG","fingolimod","HSP90","Sphingosine-1-phosphate receptor agonist",8,-0.362853181388897,19,1
"YM155","fingolimod","survivin/BIRC5","Sphingosine-1-phosphate receptor agonist",8,-0.362853181388897,7,1
"STA4783","lenalidomide","HSP70 inducer","TNFa",8,0.966316053487673,6,98
"Wnti","pioglitazone","bCatenin","PPARg, agonist",8,0.342042780263905,3,53
"L779450","sunitinib","Raf","Multi (CSF-1R, Flt3, Kit, PDGFR, RET, VEGFR)",8,2.52267656183668,51,42
"MK1775","vincristine","Wee-1","microtubule agent (vinca alkyloid)",8,0.54430481691662,37,5
"MK2206","vincristine","Akt","microtubule agent (vinca alkyloid)",8,0.54430481691662,59,5
"ENMD2076","ABT263","Aurora A, FLT3, c-KIT, FGFR1/3","Bcl-2, Bcl-x, Bcl-xl",7,0.347996860563053,106,4
"Embelin","ABT263","XIAP","Bcl-2, Bcl-x, Bcl-xl",7,0.347996860563053,25,4
"L779450","ABT263","Raf","Bcl-2, Bcl-x, Bcl-xl",7,0.347996860563053,51,4
"OSI906","ABT263","IGF1R","Bcl-2, Bcl-x, Bcl-xl",7,0.347996860563053,57,4
"gemcitabine","ABT263","Antimetabolite (pyrimidine)","Bcl-2, Bcl-x, Bcl-xl",7,0.347996860563053,50,4
"QS11","Bexarotene","ARFGAP","RXR",7,1.95757750714748,28,29
"CP690550","Bortezomib","JAK3","proteasome",7,-0.142921108443662,70,2
"Darinaparsin","Bortezomib","arsenic","proteasome",7,-0.142921108443662,60,2
"IPA3","Bortezomib","PAK","proteasome",7,-0.142921108443662,88,2
"KU0063794","Bortezomib","mTOR kinase","proteasome",7,-0.142921108443662,83,2
"Tamatinib/R406","Bortezomib","Syk","proteasome",7,-0.142921108443662,17,2
"vorinostat/SAHA","Bortezomib","HDAC","proteasome",7,-0.142921108443662,96,2
"U73122","CHIR265","PLC","Raf, VEGFR",7,1.53793400082678,20,14
"CP690550","Docetaxel","JAK3","microtubule agent (taxane)",7,1.31501740098241,70,10
"ZM336372","Dovitinib/CHIR-258","Raf (c-Raf)","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",7,1.937199404126,43,35
"YM155","Enzastaurin","survivin/BIRC5","PKCbeta",7,0.933103246307803,7,31
"NVP-TAE684","FH535","ALK","bCatenin",7,2.04712557646396,40,23
"Bortezomib","FK866","proteasome","NAMPRT",7,-0.142921108443662,2,12
"YM155","FK866","survivin/BIRC5","NAMPRT",7,0.933103246307803,7,12
"dasatanib","FK866","Multi (BCR-Abl, EAR, PDGFR, c-kit)","NAMPRT",7,1.28886361711532,34,12
"Wnti","GW9662","bCatenin","PPARg",7,0.166929969315399,3,58
"Tie2i","HIF-1i","TIE_2","HIFa",7,1.72109403858023,48,30
"STA4783","MK1775","HSP70 inducer","Wee-1",7,0.68226160919322,6,37
"NVP-BEZ235","MK2206","PI3K/TORC1/TORC2 dual specificity","Akt",7,2.62911597008189,78,59
"CP690550","Midostaurin/PKC412","JAK3","Multi (FLT3, KIT, etc., broad spectrum)",7,1.7325502638697,70,15
"SNS314","Midostaurin/PKC412","Aurora (pan)","Multi (FLT3, KIT, etc., broad spectrum)",7,1.7325502638697,55,15
"T0901317","Midostaurin/PKC412","LXR","Multi (FLT3, KIT, etc., broad spectrum)",7,1.7325502638697,56,15
"C75","OSU03012","Fatty Acid Synthase","PDK1",7,0.950596928679651,47,9
"Bortezomib","Pazopanib","proteasome","Multi (VEGFR2, FLT1, FLT4)",7,-0.142921108443662,2,102
"CP690550","Perifosine","JAK3","Akt/PI3K",7,1.51668311692071,70,24
"fingolimod","Perifosine","Sphingosine-1-phosphate receptor agonist","Akt/PI3K",7,-0.517535613295718,1,24
"tipifarnib","Perifosine","FTI","Akt/PI3K",7,1.51668311692071,72,24
"QS11","RKI983","ARFGAP","ROCK",7,1.6317337690161,28,16
"GW2580","STA4783","CSF1R/fms","HSP70 inducer",7,0.68226160919322,71,6
"JZL184","STA4783","MAGL","HSP70 inducer",7,0.68226160919322,33,6
"STA4783","SU6656","HSP70 inducer","Lyn/Src/Fyn/Yes",7,0.68226160919322,6,52
"Wnti","SU6656","bCatenin","Lyn/Src/Fyn/Yes",7,0.166929969315399,3,52
"HIF-1i","Tamatinib/R406","HIFa","Syk",7,1.59250209091286,30,17
"NVP-TAE684","Tamatinib/R406","ALK","Syk",7,1.59250209091286,40,17
"STA4783","Tamatinib/R406","HSP70 inducer","Syk",7,0.68226160919322,6,17
"HIF-1i","U73122","HIFa","PLC",7,1.72109403858023,30,20
"Bortezomib","VX702","proteasome","p38",7,-0.142921108443662,2,74
"gemcitabine","VX702","Antimetabolite (pyrimidine)","p38",7,2.19226365152068,50,74
"XAV939","Wnti","tankyrase 1/2","bCatenin",7,0.166929969315399,97,3
"BMS536924","YM155","Multi (IGFR1R, InR, FAK)","survivin/BIRC5",7,0.933103246307803,44,7
"Wnti","YM155","bCatenin","survivin/BIRC5",7,0.166929969315399,3,7
"MK1775","bivanib/BI2536","Wee-1","Plk1",7,0.980059076851083,37,8
"T0901317","bivanib/BI2536","LXR","Plk1",7,0.980059076851083,56,8
"vasastrol","bivanib/BI2536","KSP (Eg5, kinesin-5)","Plk1",7,0.980059076851083,67,8
"IPA3","fingolimod","PAK","Sphingosine-1-phosphate receptor agonist",7,-0.517535613295718,88,1
"AZD7762","fludarabine","Chk1/2","Antimetabolite (purine)",7,1.50429070536208,27,11
"FH535","fludarabine","bCatenin","Antimetabolite (purine)",7,1.59511932239791,23,11
"STA4783","fludarabine","HSP70 inducer","Antimetabolite (purine)",7,0.68226160919322,6,11
"dasatanib","fludarabine","Multi (BCR-Abl, EAR, PDGFR, c-kit)","Antimetabolite (purine)",7,1.59511932239791,34,11
"fludarabine","gemcitabine","Antimetabolite (purine)","Antimetabolite (pyrimidine)",7,1.59511932239791,11,50
"Wnti","nilotinib","bCatenin","Multi (BCR-Abl, PDGFR, c-kit)",7,0.166929969315399,3,66
"lapatinib","sorafenib","EGFR, HER2, ErbB4","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)",7,1.0728857475483,13,26
"Wnti","stibogluconate","bCatenin","SHP1/2/PTP1B",7,0.166929969315399,3,54
"STA4783","temozolomide","HSP70 inducer","alkylating agent (tetrazine)",7,0.68226160919322,6,75
"STA4783","tipifarnib","HSP70 inducer","FTI",7,0.68226160919322,6,72
"HIF-1i","vatalanib/PTK787","HIFa","VEFGR (1-4), c-kit, PDGFb",7,1.28289815657001,30,22
"U73122","vatalanib/PTK787","PLC","VEFGR (1-4), c-kit, PDGFb",7,1.28289815657001,20,22
"JZL184","vincristine","MAGL","microtubule agent (vinca alkyloid)",7,0.37597933885281,33,5
"SU6656","vincristine","Lyn/Src/Fyn/Yes","microtubule agent (vinca alkyloid)",7,0.37597933885281,52,5
"sorafenib","vincristine","Multi (Braf, VEGFR, RET, Flt3, ckit, Craf)","microtubule agent (vinca alkyloid)",7,0.37597933885281,26,5
"GW0742","ABT263","PPARd, agonist","Bcl-2, Bcl-x, Bcl-xl",6,0.158018982602611,63,4
"LFM-A13","ABT263","BTK, Plk","Bcl-2, Bcl-x, Bcl-xl",6,0.158018982602611,90,4
"MK2206","ABT263","Akt","Bcl-2, Bcl-x, Bcl-xl",6,0.158018982602611,59,4
"NVP-TAE684","ABT263","ALK","Bcl-2, Bcl-x, Bcl-xl",6,0.158018982602611,40,4
"everolimus","ABT263","mTor","Bcl-2, Bcl-x, Bcl-xl",6,0.158018982602611,41,4
"tipifarnib","ABT263","FTI","Bcl-2, Bcl-x, Bcl-xl",6,0.158018982602611,72,4
"OSU03012","AZD7762","PDK1","Chk1/2",6,0.695674945299394,9,27
"Wnti","BMS536924","bCatenin","Multi (IGFR1R, InR, FAK)",6,-0.00818284163310781,3,44
"OSU03012","Bexarotene","PDK1","RXR",6,0.695674945299394,9,29
"Wnti","Bexarotene","bCatenin","RXR",6,-0.00818284163310781,3,29
"bivanib/BI2536","Bexarotene","Plk1","RXR",6,0.701159286364206,8,29
"BID1870","Bortezomib","RSK (RSK1/2/3/5/, PLK1, ARKB)","proteasome",6,-0.344138984805134,45,2
"BMS536924","Bortezomib","Multi (IGFR1R, InR, FAK)","proteasome",6,-0.344138984805134,44,2
"CX4945","Bortezomib","CK2a","proteasome",6,-0.344138984805134,49,2
"GW9662","Bortezomib","PPARg","proteasome",6,-0.344138984805134,58,2
"HIF-1i","Bortezomib","HIFa","proteasome",6,-0.344138984805134,30,2
"Indole-3-carbinol","Bortezomib","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors","proteasome",6,-0.344138984805134,89,2
"L779450","Bortezomib","Raf","proteasome",6,-0.344138984805134,51,2
"LSN415169","Bortezomib","gamma secretase","proteasome",6,-0.344138984805134,84,2
"Tie2i","Bortezomib","TIE_2","proteasome",6,-0.344138984805134,48,2
"gemcitabine","Bortezomib","Antimetabolite (pyrimidine)","proteasome",6,-0.344138984805134,50,2
"lapatinib","Bortezomib","EGFR, HER2, ErbB4","proteasome",6,-0.344138984805134,13,2
"lenalidomide","Bortezomib","TNFa","proteasome",6,-0.344138984805134,98,2
"SU6656","CHIR265","Lyn/Src/Fyn/Yes","Raf, VEGFR",6,1.19933536278467,52,14
"temozolomide","CHIR265","alkylating agent (tetrazine)","Raf, VEGFR",6,1.19933536278467,75,14
"STA4783","CP690550","HSP70 inducer","JAK3",6,0.398207164898766,6,70
"YM155","Darinaparsin","survivin/BIRC5","arsenic",6,0.661054070953757,7,60
"Tanespimycin/17-AAG","Docetaxel","HSP90","microtubule agent (taxane)",6,0.969300295564432,19,10
"Wnti","Docetaxel","bCatenin","microtubule agent (taxane)",6,-0.00818284163310781,3,10
"Bexarotene","Dovitinib/CHIR-258","RXR","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",6,1.58084946170722,29,35
"NVP-TAE684","Dovitinib/CHIR-258","ALK","Multi (c-Kit, FGFR, FLT3, FMS, PDGFR, VEGFR)",6,1.7315954411504,40,35
"STA4783","ENMD2076","HSP70 inducer","Aurora A, FLT3, c-KIT, FGFR1/3",6,0.398207164898766,6,106
"Wnti","ENMD2076","bCatenin","Aurora A, FLT3, c-KIT, FGFR1/3",6,-0.00818284163310781,3,106
"GSK0660","FK866","PPARd, ant","NAMPRT",6,0.980343690870715,68,12
"IPA3","FK866","PAK","NAMPRT",6,0.980343690870715,88,12
"PF562271","FK866","FAK1/2","NAMPRT",6,0.980343690870715,64,12
"STA4783","FK866","HSP70 inducer","NAMPRT",6,0.398207164898766,6,12
"bivanib/BI2536","FK866","Plk1","NAMPRT",6,0.701159286364206,8,12
"STA4783","Indole-3-carbinol","HSP70 inducer","Aryl Hydrocarbon Receptor (AhR) Agonists/Indoleamine 2,3-dioxygenase Inhibitors",6,0.398207164898766,6,89
"Wnti","LFM-A13","bCatenin","BTK, Plk",6,-0.00818284163310781,3,90
"GSK0660","Midostaurin/PKC412","PPARd, ant","Multi (FLT3, KIT, etc., broad spectrum)",6,1.37188318559332,68,15
"QS11","Midostaurin/PKC412","ARFGAP","Multi (FLT3, KIT, etc., broad spectrum)",6,1.37188318559332,28,15
"CHIR265","OSI906","Raf, VEGFR","IGF1R",6,1.19933536278467,14,57
"Tie2i","OSU03012","TIE_2","PDK1",6,0.695674945299394,48,9
"Wnti","PF04217903","bCatenin","MET",6,-0.00818284163310781,3,87
"Bortezomib","PF562271","proteasome","FAK1/2",6,-0.344138984805134,2,64
"OSU03012","PLX4720","PDK1","Raf (BRafV600E)",6,0.695674945299394,9,79
"STA4783","PLX4720","HSP70 inducer","Raf (BRafV600E)",6,0.398207164898766,6,79
"fingolimod","Pazopanib","Sphingosine-1-phosphate receptor agonist","Multi (VEGFR2, FLT1, FLT4)",6,-0.672218045202539,1,102
"Wnti","Perifosine","bCatenin","Akt/PI3K",6,-0.00818284163310781,3,24
"BID1870","SNS314","RSK (RSK1/2/3/5/, PLK1, ARKB)","Aurora (pan)",6,1.4155412796673,45,55
"BID1870","STA4783","RSK (RSK1/2/3/5/, PLK1, ARKB)","HSP70 inducer",6,0.398207164898766,45,6
"GW0742","STA4783","PPARd, agonist","HSP70 inducer",6,0.398207164898766,63,6
"GW441756","STA4783","TrkA","HSP70 inducer",6,0.398207164898766,82,6
"GW9662","STA4783","PPARg","HSP70 inducer",6,0.398207164898766,58,6
"Tie2i","STA4783","TIE_2","HSP70 inducer",6,0.398207164898766,48,6
"XAV939","STA4783","tankyrase 1/2","HSP70 inducer",6,0.398207164898766,97,6
"SNS314","Tozasertib/VX680","Aurora (pan)","Multi (AuroraABC, Abl, AblT351I, Flt-3)",6,2.60787465187353,55,92
"FH535","U73122","bCatenin","PLC",6,1.64373250706867,23,20
"L779450","U73122","Raf","PLC",6,1.7624491783388,51,20
"bivanib/BI2536","Veliparib/ABT888","Plk1","PARP",6,0.701159286364206,8,81
"CP690550","YM155","JAK3","survivin/BIRC5",6,0.661054070953757,70,7
"JZL184","YM155","MAGL","survivin/BIRC5",6,0.661054070953757,33,7
"NVP-TAE684","YM155","ALK","survivin/BIRC5",6,0.661054070953757,40,7
"SNS314","YM155","Aurora (pan)","survivin/BIRC5",6,0.661054070953757,55,7
"Tamatinib/R406","YM155","Syk","survivin/BIRC5",6,0.661054070953757,17,7
"lenalidomide","YM155","TNFa","survivin/BIRC5",6,0.661054070953757,98,7
"GW9662","bivanib/BI2536","PPARg","Plk1",6,0.701159286364206,58,8
"NVP-TAE684","bivanib/BI2536","ALK","Plk1",6,0.701159286364206,40,8
"QS11","bivanib/BI2536","ARFGAP","Plk1",6,0.701159286364206,28,8
